num,County
569,Covington
570,Covington (city)
571,Coweta
572,Cowley
573,Cowlitz
574,Craig
575,Craighead
576,Cranberry
577,Craven
578,Crawford
579,Craynor
580,Creek
581,Crenshaw
582,Crisp
583,Crittenden
584,Crockett
585,Crook
586,Crosby
587,Cross
588,Crow Wing
589,Crowell
590,Crowley
591,Crown
592,Crown Hill
593,Crystal
594,Culberson
595,Cullman
596,Culpeper
597,Culver
598,Cumberland
599,Cuming
600,Cumming
601,Cundiff
602,Currituck
603,Curry
604,Custer
605,Cuthbert
606,Cutshin
607,Cuyahoga
608,Cuyama
609,Cuyler
610,Dacula
611,Dade
612,Daggett
613,Daisy
614,Dakota
615,Dale
616,Dallam
617,Dallas
618,Daly City
619,Dames Quarter
620,Dane
621,Daniels
622,Danville (city)
623,Dare
624,Darke
625,Darlington
626,Darlington Heights
627,Dauphin
628,Davidson
629,Davie
630,Daviess
631,Davis
632,Davison
633,Dawes
634,Dawmont
635,Dawson
636,Day
637,Dayton
638,De Graff
639,De Soto
640,De Witt
641,DeBaca
642,DeKalb
643,DeSoto
644,DeWitt
645,Deaf Smith
646,Dearborn
647,Decatur
648,Decoy
649,Deer Lodge
650,Deerfield
651,Defiance
652,Defoe
653,Del Norte
654,Deland
655,Delaware
656,Delphos
657,Delta
658,Denali
659,Denham
660,Dent
661,Denton
662,Denver
663,Derry
664,Des Moines
665,Deschutes
666,Desha
667,Detour
668,Detroit
669,Deuel
670,Dewey
671,Di Giorgio
672,Dickens
673,Dickenson
674,Dickey
675,Dickinson
676,Dickson
677,Dillingham (CA)
678,Dillon
679,Dimmit
680,Dinwiddie
681,District Of Columbia
682,District of Columbia
683,Divide
684,Dixie
685,Dixon
686,Doddridge
687,Dodge
688,Dolores
689,Dona Ana
690,Doniphan
691,Donley
692,Dooly
693,Door
694,Dorchester
695,Dougherty
696,Douglas
697,Dover
698,Doylestown
699,Doyon
700,Doña Ana
701,Drew
702,DuPage
703,Dubois
704,Dubuque
